Entry	Gene names	Gene names  (primary )	Protein names	Length	Mass	EC number	Cross-reference (KEGG)
P74744	slr0598		Slr0598 protein	102	11,920		syn:slr0598;
Q79EF1	desB	desB	Delta 15 desaturase	359	41,919		syn:sll1441;
Q55641	rnd	rnd	Ribonuclease D	217	24,403		syn:sll0320;
Q55904	slr0300		Slr0300 protein	194	21,945		syn:slr0300;
Q55838	sll0474		Sensory transduction histidine kinase	806	90,639		syn:sll0474;
Q6ZE80	sll8012		Uncharacterized protein	138	15,637		syn:sll8012;
P74536	slr1428		Slr1428 protein	636	71,613		syn:slr1428;
Q55651	slr0356		Slr0356 protein	196	21,434		syn:slr0356;
P74623	sll1473		Sll1473 protein	481	55,049		syn:sll1473;
P74612	sll1486		Sll1486 protein	265	29,493		syn:sll1486;
P74212	slr1530		Slr1530 protein	280	32,328		syn:slr1530;
Q55483	dacA sll0505	dacA	Diadenylate cyclase (DAC) (EC 2.7.7.85) (Cyclic-di-AMP synthase) (c-di-AMP synthase)	303	33,599	2.7.7.85	syn:sll0505;
P73370	slr2070		Slr2070 protein	284	31,874		syn:slr2070;
Q6ZEH3	slr7025		Slr7025 protein	138	16,428		syn:slr7025;
P72956	pleD	pleD	PleD gene product	481	54,709		syn:slr0687;
Q55396	sll0547		Sll0547 protein	220	24,811		syn:sll0547;
P73552	sll0877		Sll0877 protein	456	51,885		syn:sll0877;
Q55425	sll0827		Sll0827 protein	496	58,152		syn:sll0827;
Q6YRQ0	slr6104		Slr6104 protein	184	21,225		syn:slr6104;
Q6ZEV5	ssl5025		Ssl5025 protein	64	7,204		syn:ssl5025;
P74671	sll1543		Sll1543 protein	145	16,561		syn:sll1543;
Q55492	sll0497		Sll0497 protein	275	31,477		syn:sll0497;
P74223	glnH	glnH	Glutamine-binding protein	296	32,662		syn:sll1104;
P73731	slr1739		Photosystem II reaction center Psb28 protein	122	14,113		syn:slr1739;
P72635	sll1062		Sll1062 protein	125	14,607		syn:sll1062;
P74670	sll1544		Response regulator like protein	228	25,669		syn:sll1544;
P74362	ssl2971		Ssl2971 protein	99	10,821		syn:ssl2971;
P74058	ssl1507		Transposase	66	7,507		syn:ssl1507;
P73686	sll1708		NarL subfamily	226	24,339		syn:sll1708;
P74481	slr1929		Slr1929 protein	183	19,257		syn:slr1929;
P74293	slr1692		Slr1692 protein	332	37,993		syn:slr1692;
P72902	slr1066		Slr1066 protein	401	45,951		syn:slr1066;
P73078	divK	divK	Cell division response regulator DivK	182	19,319		syn:slr2041;
Q55360	sll0888		Sll0888 protein	190	21,873		syn:sll0888;
P74172	rfbM	rfbM	GDP-mannose pyrophosphorylase	367	40,464		syn:sll1370;
P74445	slr0146		Slr0146 protein	170	19,690		syn:slr0146;
P74029	ycf39	ycf39	Ycf39 protein	219	23,534		syn:sll1218;
P73459	slr1752		Slr1752 protein	221	25,665		syn:slr1752;
Q55152	slr0061		Slr0061 protein	221	24,853		syn:slr0061;
P74387	sll0419		Sll0419 protein	154	16,652		syn:sll0419;
P73366	slr1215		Slr1215 protein	222	24,419		syn:slr1215;
Q6YRX2	ssr6032		DNA (cytosine-5-)-methyltransferase (EC 2.1.1.37)	72	7,991	2.1.1.37	syn:ssr6032;
Q55411	sll0539		Sll0539 protein	397	45,185		syn:sll0539;
P73489	ssl2245		Ssl2245 protein	88	9,206		syn:ssl2245;
P72700	slr0244		Slr0244 protein	284	31,204		syn:slr0244;
P73499	ssr2067		Ssr2067 protein	76	8,498		syn:ssr2067;
P73778	slr1245		Transcriptional regulator	302	34,205		syn:slr1245;
Q6ZEQ3	slr5077		Slr5077 protein	260	29,797		syn:slr5077;
P73764	slr0868		Slr0868 protein	101	11,565		syn:slr0868;
Q55770	sll0185		Sll0185 protein	419	46,994		syn:sll0185;
Q6ZE90	sll8002		Sll8002 protein	212	24,244		syn:sll8002;
Q55139	gst	gst	Glutathione S-transferase	184	20,378		syn:sll0067;
P73700	slr1815		Slr1815 protein	178	20,798		syn:slr1815;
P73640	sll1765		Sll1765 protein	159	18,014		syn:sll1765;
P72883	slr0981		Slr0981 protein	187	20,887		syn:slr0981;
P73853	guaB	guaB	IMP dehydrogenase subunit	387	40,235		syn:slr1722;
Q55840	slr0517		Slr0517 protein	204	23,376		syn:slr0517;
Q55857	slr0616		Slr0616 protein	418	45,391		syn:slr0616;
Q6ZER4	sll5066		Sll5066 protein	204	22,544		syn:sll5066;
Q6YS01	ssr6003		Ssr6003 protein	75	8,531		syn:ssr6003;
Q55454	sll0034		Sll0034 protein	258	28,593		syn:sll0034;
P73732	slr1740		Extracellular solute-binding protein	582	63,607		syn:slr1740;
Q6ZEQ1	sll5079		Sll5079 protein	272	28,690		syn:sll5079;
P72878	sll0922		Sll0922 protein	116	12,883		syn:sll0922;
P74344	moeB	moeB	Molybdopterin biosynthesis MoeB protein	392	42,759		syn:sll1536;
Q6ZEU7	sll5033		Sll5033 protein	179	19,892		syn:sll5033;
P74451	slr0152		Non-specific serine/threonine protein kinase (EC 2.7.11.1)	631	70,660	2.7.11.1	syn:slr0152;
P72826	ycf19	ycf19	Ycf19 protein	90	10,003		syn:ssr2142;
P73430	slr1544		Slr1544 protein	103	11,882		syn:slr1544;
Q6ZE95	sll7103		Exodeoxyribonuclease V alpha chain	128	14,952		syn:sll7103;
Q55814	slr0096		Low affinity sulfate transporter	556	58,607		syn:slr0096;
P74256	slr1174		Slr1174 protein	262	30,457		syn:slr1174;
P73563	ssl1633		CAB/ELIP/HLIP superfamily	70	7,813		syn:ssl1633;
P74600	slr1568		Slr1568 protein	136	15,610		syn:slr1568;
Q55446	sll0040		Sll0040 protein	182	20,251		syn:sll0040;
P73800	slr1260		Slr1260 protein	177	19,686		syn:slr1260;
P73953	slr1512		Slr1512 protein	374	39,648		syn:slr1512;
Q55818	sll0487		Sll0487 protein	402	45,848		syn:sll0487;
P74249	slr1170		GDT1 family protein	117	12,512		syn:slr1170;
P74348	sll1534		Sll1534 protein	378	42,884		syn:sll1534;
P73822	slr1990		Slr1990 protein	240	26,951		syn:slr1990;
Q55564	sll0162		Sll0162 protein	194	22,688		syn:sll0162;
Q6ZEF1	sll7047		Sll7047 protein	243	26,161		syn:sll7047;
P72893	rfbE	rfbE	Perosamine synthetase	378	41,944		syn:slr1615;
P74774	ssl1045		Ssl1045 protein	75	8,859		syn:ssl1045;
P72750	sll1037		Sll1037 protein	491	55,311		syn:sll1037;
P74083	slr1344		Slr1344 protein	283	30,055		syn:slr1344;
P74460	slr0157		Slr0157 protein	162	18,749		syn:slr0157;
P72963	sll0638		Sll0638 protein	458	50,444		syn:sll0638;
Q55959	slr0697		Slr0697 protein	1252	136,052		syn:slr0697;
Q55562	hemD	hemD	Uroporphyrinogen III methylase (EC 2.1.1.107) (Uroporphyrinogen-III C-methyltransferase)	538	58,690	2.1.1.107	syn:sll0166;
P72890	slr1612		Slr1612 protein	286	33,045		syn:slr1612;
P73779	ssr2078		Transposase	86	9,324		syn:ssr2078;
Q6ZEG2	ssr7036		Uncharacterized protein	64	6,621		syn:ssr7036;
Q6ZEI7	slr7011		Uncharacterized protein	975	111,935		syn:slr7011;
Q6YRU9	sll6055		Sll6055 protein	152	17,444		syn:sll6055;
Q6ZEB6	slr7082		Uncharacterized protein	319	36,695		syn:slr7082;
P72839	slr1301		Slr1301 protein	535	61,692		syn:slr1301;
P74560	slr0651		Slr0651 protein	127	14,057		syn:slr0651;
P73465	uvrD	uvrD	ATP-dependent DNA helicase (EC 3.6.4.12)	793	90,395	3.6.4.12	syn:sll1143;
Q55723	sll0606		Sll0606 protein	476	50,680		syn:sll0606;
P73168	slr1385		Slr1385 protein	322	35,640		syn:slr1385;
P73480	bchB	bchB	Protochlorophillide reductase 57 kD subunit	83	9,774		syn:ssr2049;
P73018	slr1053		Slr1053 protein	267	29,848		syn:slr1053;
Q6YRR1	sll6093		ParA family chromosome partitioning protein	198	21,648		syn:sll6093;
P73187	slr1395		Slr1395 protein	358	40,526		syn:slr1395;
P74049	slr0816		Slr0816 protein	167	18,919		syn:slr0816;
P74270	ssr2802		ABC transporter	53	5,779		syn:ssr2802;
Q55951	slr0801		Slr0801 protein	416	46,585		syn:slr0801;
Q6ZEE9	slr7049		Resolvase	215	23,502		syn:slr7049;
Q6ZEK4	slr5126		Uncharacterized protein	156	17,560		syn:slr5126;
P72957	sll0641		Sll0641 protein	509	58,510		syn:sll0641;
Q55713	sll0611		Sll0611 protein	148	16,853		syn:sll0611;
P73591	sll1308		Sll1308 protein	248	25,862		syn:sll1308;
P72747	slr1103		Slr1103 protein	706	79,831		syn:slr1103;
P74077	sll1255		Transposase	338	39,245		syn:sll1255;
P72825	slr1293		Slr1293 protein	507	55,340		syn:slr1293;
P72945	slr0681		Slr0681 protein	433	46,306		syn:slr0681;
P73031	ssl1918		Ssl1918 protein	97	11,332		syn:ssl1918;
P73708	sll1691		Sll1691 protein	150	16,769		syn:sll1691;
P74147	sll1389		Sll1389 protein	188	20,942		syn:sll1389;
P74658	slr1657		PleD gene product	275	31,371		syn:slr1657;
Q55991	sll0742		Sll0742 protein	149	17,907		syn:sll0742;
Q6YRU2	ssr6062		Ssr6062 protein	82	9,373		syn:ssr6062;
P73165	slr1383		Slr1383 protein	162	18,050		syn:slr1383;
P73023	sll1005		Regulatory protein for beta-lactamase	269	30,244		syn:sll1005;
P73167	slr1384		Slr1384 protein	391	42,583		syn:slr1384;
Q55889	slr0114		Slr0114 protein	510	56,722		syn:slr0114;
P72685	sll0696		Sll0696 protein	290	32,091		syn:sll0696;
P73104	slr1909		NarL subfamily	213	24,046		syn:slr1909;
Q55555	sll0175		Putative ORF1	540	59,250		syn:sll0175;
Q55419	moxR	moxR	MoxR protein	303	33,452		syn:slr0835;
P74656	sll1549		Sll1549 protein	238	26,624		syn:sll1549;
P74784	ssr0536		Ssr0536 protein	84	8,916		syn:ssr0536;
P74144	sll1866		Sll1866 protein	199	21,634		syn:sll1866;
Q55144	trpG	trpG	Anthranilate synthase component II	163	17,860		syn:slr0055;
P72668	slr0723		Slr0723 protein	363	41,429		syn:slr0723;
P73461	slr1218		Slr1218 protein	158	17,678		syn:slr1218;
Q55859	sll0590		Sll0590 protein	564	63,344		syn:sll0590;
P73095	sll1934		Sll1934 protein	148	16,542		syn:sll1934;
P73210	sll1573		Sll1573 protein	104	12,020		syn:sll1573;
Q55363	slr0895		Slr0895 protein	187	20,424		syn:slr0895;
P74305	pqqE	pqqE	Protease	524	59,588		syn:sll0915;
Q6ZED0	slr7068		Slr7068 protein	367	42,097		syn:slr7068;
P72698	slr0243		Slr0243 protein	175	20,005		syn:slr0243;
Q55657	sll0024		Sll0024 protein	273	32,319		syn:sll0024;
P73377	manA	manA	Mannose-6-phosphate isomerase	129	14,640		syn:slr2074;
P74015	sll1228		Hybrid sensory kinase	633	69,897		syn:sll1228;
P73556	slr0876		Slr0876 protein	409	45,253		syn:slr0876;
Q6ZEC4	ssl7074		Ssl7074 protein	98	10,938		syn:ssl7074;
P72597	sll1203		Sll1203 protein	321	37,635		syn:sll1203;
P74074	slr1338		Slr1338 protein	200	22,438		syn:slr1338;
P73763	slr0867		Slr0867 protein	214	23,533		syn:slr0867;
P73252	ssl3615		Ssl3615 protein	94	10,977		syn:ssl3615;
P74213	sll1439		Sll1439 protein	267	31,058		syn:sll1439;
P72947	sll0650		Transposase	119	13,988		syn:sll0650;
P74051	sll0810		Sll0810 protein	186	21,775		syn:sll0810;
P73342	slr1194		Slr1194 protein	222	25,171		syn:slr1194;
Q55527	slr0322		Histidine kinase (EC 2.7.13.3)	1095	120,557	2.7.13.3	syn:slr0322;
P73416	sll1714		Sll1714 protein	133	15,202		syn:sll1714;
P73158	slr1378		Slr1378 protein	237	26,989		syn:slr1378;
P73701	slr1816		Slr1816 protein	717	83,034		syn:slr1816;
P74298	sll0921		NarL subfamily	222	24,166		syn:sll0921;
P74590	sll1495		Sll1495 protein	397	43,543		syn:sll1495;
P74100	slr1962		Slr1962 protein	370	40,342		syn:slr1962;
P74286	sucD	sucD	Succinyl-CoA synthetase	302	32,252		syn:sll1557;
P74129	slr1978		Slr1978 protein	291	33,778		syn:slr1978;
P73697	slr1812		Slr1812 protein	158	19,067		syn:slr1812;
P73544	glnH glnP	glnH	Glutamine-binding periplasmic protein/glutamine transport system permease protein	530	57,681		syn:sll1270;
P72572	ssl0769		Transposase	64	7,071		syn:ssl0769;
P74792	ssl0750		Ssl0750 protein	93	10,671		syn:ssl0750;
P73620	sll1774		Sll1774 protein	260	29,710		syn:sll1774;
Q6ZEU9	ssl5031		Ssl5031 protein	37	3,966		syn:ssl5031;
P73350	livH	livH	High-affinity branched-chain amino acid transport protein	388	41,682		syn:slr1200;
P74429	ycf39	ycf39	Ycf39 gene product	326	36,519		syn:slr0399;
Q55652	sll0312		OppB in a binding protein-dependent transport system	337	37,907		syn:sll0312;
Q55896	trmJ slr0120	trmJ	tRNA (cytidine/uridine-2'-O-)-methyltransferase TrmJ (EC 2.1.1.200) (tRNA (cytidine(32)/uridine(32)-2'-O)-methyltransferase) (tRNA Cm32/Um32 methyltransferase)	240	26,916	2.1.1.200	syn:slr0120;
Q6ZET8	sll5042		Sll5042 protein	280	32,955		syn:sll5042;
P72582	slr0613		Slr0613 protein	173	18,297		syn:slr0613;
P73609	slr1859		Anti-sigma factor antagonist	108	11,990		syn:slr1859;
P72972	slr1594		PatA subfamily	395	45,467		syn:slr1594;
P73931	slr2103		Slr2103 protein	294	33,259		syn:slr2103;
P72713	ssl0410		Ssl0410 protein	90	9,869		syn:ssl0410;
P74525	slr1421		Slr1421 protein	107	12,200		syn:slr1421;
P73378	sll1965		Sll1965 protein	136	15,463		syn:sll1965;
P74150	sll1387		Sll1387 protein	254	28,913		syn:sll1387;
P74413	ssl0483		Ssl0483 protein	66	7,190		syn:ssl0483;
P74478	slr1926		Slr1926 protein	223	24,631		syn:slr1926;
P73986	slr2119		Slr2119 protein	278	32,463		syn:slr2119;
Q55541	slr0333		Slr0333 protein	106	11,406		syn:slr0333;
P72912	slr1077		Slr1077 protein	386	43,521		syn:slr1077;
P73383	slr1826		Slr1826 protein	141	15,712		syn:slr1826;
P74757	slr0610		Slr0610 protein	230	25,686		syn:slr0610;
P72665	llaI.2	llaI.2	LlaI.2 protein	462	54,094		syn:sll0709;
P73267	sll1080		Sll1080 protein	352	38,210		syn:sll1080;
P74151	sll1386		Sll1386 protein	171	19,427		syn:sll1386;
Q6ZEF3	ssl7045		Uncharacterized protein	73	7,505		syn:ssl7045;
P74118	sll1886		Sll1886 protein	188	21,028		syn:sll1886;
P73564	slr0881		Slr0881 protein	103	12,174		syn:slr0881;
P74781	ssl1707		Ssl1707 protein	84	9,257		syn:ssl1707;
P73785	pstS	pstS	Phosphate-binding protein	333	35,289		syn:slr1247;
P72990	slr1603		Slr1603 protein	440	49,215		syn:slr1603;
P74377	ssr0756		Ssr0756 protein	61	7,192		syn:ssr0756;
P73603	slr1852		Slr1852 protein	188	21,835		syn:slr1852;
Q6ZES7	slr5053		Uncharacterized protein	146	16,496		syn:slr5053;
P74446	slr0147		Slr0147 protein	292	32,305		syn:slr0147;
P72679	sll0702		Sll0702 protein	130	13,705		syn:sll0702;
P74540	slr1431		Slr1431 protein	475	52,880		syn:slr1431;
P74433	slr0404		Slr0404 protein	333	34,864		syn:slr0404;
Q55122	sll0406		Sll0406 protein	161	18,248		syn:sll0406;
Q6ZED6	sll7062		Cas_APE2256 domain-containing protein	371	42,305		syn:sll7062;
Q6ZEC9	sll7069		Sll7069 protein	104	11,172		syn:sll7069;
P73837	slr2004		Slr2004 protein	474	53,482		syn:slr2004;
P73396	sll1730		Sll1730 protein	210	24,116		syn:sll1730;
P72911	slr1076		Slr1076 protein	381	43,375		syn:slr1076;
Q55864	sll0586		Sll0586 protein	408	44,522		syn:sll0586;
P72808	pheA	pheA	Prephenate dehydratase (PDT) (EC 4.2.1.51)	297	32,342	4.2.1.51	syn:sll1662;
P74767	ssr1513		Ssr1513 protein	65	7,339		syn:ssr1513;
Q55748	slr0421		Slr0421 protein	249	27,534		syn:slr0421;
Q55866	ycf36	ycf36	Ycf36 protein	173	19,933		syn:sll0584;
Q55178	slr0487		Slr0487 protein	163	18,601		syn:slr0487;
Q55539	sll0296		Unidentified open reading frame	186	20,996		syn:sll0296;
Q55870	slr0626		Slr0626 protein	398	44,370		syn:slr0626;
P74082	sll1252		Sll1252 protein	259	28,591		syn:sll1252;
P74723	slr0587		Slr0587 protein	110	11,829		syn:slr0587;
P73780	slr1246		Transposase	178	19,737		syn:slr1246;
P73186	sll1286		Sll1286 protein	236	26,384		syn:sll1286;
P73173	pilJ	pilJ	PilJ protein	953	103,179		syn:sll1294;
Q55577	slr0360		Slr0360 protein	535	56,729		syn:slr0360;
P72715	phoA	phoA	Alkaline phosphatase	326	36,013		syn:sll0222;
Q6ZEN2	ssl5098		Uncharacterized protein	70	7,915		syn:ssl5098;
P74378	ssr0759		Ssr0759 protein	79	9,693		syn:ssr0759;
P72681	ssl1326		Ssl1326 protein	94	10,888		syn:ssl1326;
P73275	gltS	gltS	Sodium/glutamate symporter	402	42,922		syn:slr1145;
Q6YRW1	slr6043		Slr6043 protein	1046	111,981		syn:slr6043;
Q6ZEU0	slr5040		Transposase	215	25,075		syn:slr5040;
P73064	ssr3129		Ssr3129 protein	61	7,423		syn:ssr3129;
P74279	slr1683		Transposase	131	15,425		syn:slr1683;
Q55881	slr0108		Slr0108 protein	418	47,080		syn:slr0108;
Q55405	slr0579		Slr0579 protein	117	13,938		syn:slr0579;
P72923	slr1087		Slr1087 protein	361	39,396		syn:slr1087;
P74333	slr0960		Slr0960 protein	146	17,410		syn:slr0960;
P74666	slr1664		Slr1664 protein	670	74,756		syn:slr1664;
P72662	cysM	cysM	Cysteine synthase	325	34,734		syn:sll0712;
Q55597	slr0383		Slr0383 protein	186	21,044		syn:slr0383;
P74553	slr1461		Slr1461 protein	198	21,865		syn:slr1461;
Q55599	sll0328		Sll0328 protein	139	15,712		syn:sll0328;
P74603	slr1570		Slr1570 protein	219	23,958		syn:slr1570;
P74425	sll0360		Sll0360 protein	277	30,734		syn:sll0360;
Q55958	sll0775		Sll0775 protein	125	13,384		syn:sll0775;
P74424	sll0361		Sll0361 protein	156	17,187		syn:sll0361;
Q6YRW8	sll6036		ParA family chromosome partitioning protein	201	21,735		syn:sll6036;
P73843	sll1611		Sll1611 protein	369	42,180		syn:sll1611;
P72977	hsp17	hsp17	16.6 kDa small heat shock protein, molecular chaperon	146	16,596		syn:sll1514;
P74037	slr0810		Slr0810 protein	119	13,609		syn:slr0810;
P73216	sll1571		Sll1571 protein	313	34,535		syn:sll1571;
Q6YRU4	sll6060		Sll6060 protein	177	19,136		syn:sll6060;
P73280	sll1072		Sll1072 protein	223	25,182		syn:sll1072;
P73119	glcF	glcF	Glycolate oxidase subunit (Fe-S) protein	460	50,548		syn:sll1831;
P72649	gpmB	gpmB	Phosphoglycerate mutase	349	38,881		syn:slr1124;
P72964	ycf45	ycf45	Ycf45 protein	589	65,942		syn:slr0692;
P73908	ctaE	ctaE	Cytochrome c oxidase subunit III	198	22,177		syn:slr2083;
P73193	spoIID	spoIID	Sporulation protein SpoIID	391	42,135		syn:sll1283;
P72727	slr1413		Slr1413 protein	481	52,956		syn:slr1413;
Q6ZEJ3	slr7005		Slr7005 protein	188	21,328		syn:slr7005;
Q55165	slr0468		Slr0468 protein	436	51,302		syn:slr0468;
P73691	slr1807		Slr1807 protein	261	29,335		syn:slr1807;
P72585	fcl sll1213	fcl	GDP-L-fucose synthase (EC 1.1.1.271) (GDP-4-keto-6-deoxy-D-mannose-3,5-epimerase-4-reductase)	312	34,720	1.1.1.271	syn:sll1213;
P73615	slr1865		Slr1865 protein	420	47,852		syn:slr1865;
P72907	slr1071		Slr1071 protein	268	30,875		syn:slr1071;
P73959	ssr2551		Ssr2551 protein	94	10,682		syn:ssr2551;
P73463	slr1220		Slr1220 protein	317	36,009		syn:slr1220;
P74552	sll1366		Helicase of the snf2/rad54 family	1039	115,834		syn:sll1366;
Q6ZES5	slr5055		Slr5055 protein	263	29,995		syn:slr5055;
Q55559	sll0169		Sll0169 protein	714	79,424		syn:sll0169;
P73873	sll0253		Sll0253 protein	179	20,143		syn:sll0253;
Q6ZED2	sll7066		Uncharacterized protein	791	87,451		syn:sll7066;
Q55436	slr0848		Slr0848 protein	277	31,790		syn:slr0848;
P74660	slr1659		Slr1659 protein	113	13,308		syn:slr1659;
P73746	sll0854		Sll0854 protein	308	34,527		syn:sll0854;
Q55647	slr0353		Slr0353 protein	121	12,800		syn:slr0353;
P73905	slr2080		Slr2080 protein	150	17,421		syn:slr2080;
Q6ZE44	sll8048		Sll8048 protein	236	27,832		syn:sll8048;
P73562	napC	napC	Carboxynorspermidine/carboxyspermidine decarboxylase (EC 4.1.1.96)	387	43,231	4.1.1.96	syn:sll0873;
Q55890	slr0115		OmpR subfamily	241	27,276		syn:slr0115;
Q55913	sll0283		Sll0283 protein	412	47,542		syn:sll0283;
P72684	slr0740		Slr0740 protein	131	14,495		syn:slr0740;
P74162	sll1380		Sll1380 protein	214	23,884		syn:sll1380;
P73964	slr1520		Slr1520 protein	351	39,831		syn:slr1520;
P74573	lim17	lim17	LIM17 protein	489	56,708		syn:sll0626;
P73369	sll1971		Sll1971 protein	404	46,174		syn:sll1971;
P72612	slr1493		Slr1493 protein	147	16,223		syn:slr1493;
Q6ZEF0	ssl7048		Ssl7048 protein	73	8,093		syn:ssl7048;
P74492	xthA	xthA	Exodeoxyribonuclease III (EC 3.1.11.2)	275	31,873	3.1.11.2	syn:sll1854;
P72885	rfbF	rfbF	Alpha-D-glucose-1-phosphate cytidylyltransferase	256	28,793		syn:slr0983;
P74012	sll1232		Sll1232 protein	187	20,940		syn:sll1232;
P74380	sll0426		Sll0426 protein	120	13,331		syn:sll0426;
Q6ZET7	sll5043		Sll5043 protein	328	37,109		syn:sll5043;
Q55130	slr0440		Slr0440 protein	267	30,336		syn:slr0440;
P72629	slr1116		Slr1116 protein	173	20,103		syn:slr1116;
P72591	fecD	fecD	Iron(III) dicitrate transport system permease protein FecD	349	36,770		syn:slr1317;
P73508	slr1440		Slr1440 protein	143	16,517		syn:slr1440;
Q55366	nirA	nirA	Ferredoxin--nitrite reductase	502	55,927		syn:slr0898;
Q6ZEJ1	ssl7007		Ssl7007 protein	74	8,223		syn:ssl7007;
P74558	ssl2667		NifU protein	76	8,374		syn:ssl2667;
P74674	ssr2786		Ssr2786 protein	67	7,079		syn:ssr2786;
P73017	slr1052		Slr1052 protein	170	19,470		syn:slr1052;
Q55386	slr0924		Slr0924 protein	286	31,336		syn:slr0924;
Q6YRW3	slr6041		Two-component sensor histidine kinase	450	49,954		syn:slr6041;
Q55739	slr0418		Slr0418 protein	303	33,767		syn:slr0418;
P73486	sll1131		Sll1131 protein	142	16,715		syn:sll1131;
P72618	slr1495		Slr1495 protein	549	62,003		syn:slr1495;
P72807	sll1663		Sll1663 protein	220	24,104		syn:sll1663;
P73740	slr0852		Slr0852 protein	142	16,446		syn:slr0852;
Q55812	slr0092		Slr0092 protein	257	28,988		syn:slr0092;
P73107	sll1837		Sll1837 protein	145	15,467		syn:sll1837;
P74271	ssr2803		Ssr2803 protein	83	10,078		syn:ssr2803;
P74248	slr1169		Slr1169 protein	278	30,967		syn:slr1169;
P73653	ssr3188		Ssr3188 protein	89	10,358		syn:ssr3188;
Q6ZE91	sll8001		Sll8001 protein	348	39,629		syn:sll8001;
Q55782	slr0209		Slr0209 protein	348	40,765		syn:slr0209;
P74325	slr0953		Sucrose-phosphate phosphatase (EC 3.1.3.24)	244	27,762	3.1.3.24	syn:slr0953;
P73200	slr1702		Slr1702 protein	251	27,287		syn:slr1702;
P73197	sll1582		Sll1582 protein	1118	129,022		syn:sll1582;
Q6ZEH1	sll7027		Uncharacterized protein	194	21,847		syn:sll7027;
P72708	slr0249		Slr0249 protein	124	14,032		syn:slr0249;
P72625	slr1501		Slr1501 protein	225	24,988		syn:slr1501;
P73730	sll1620		Sll1620 protein	158	17,178		syn:sll1620;
Q55606	slr0771		Slr0771 protein	111	12,552		syn:slr0771;
P74206	sll1446		Sll1446 protein	320	34,759		syn:sll1446;
Q55193	sll0686		Sll0686 protein	275	29,153		syn:sll0686;
P74203	slr1288		Slr1288 protein	194	21,017		syn:slr1288;
P72593	fecB	fecB	Iron(III) dicitrate transport system permease protein FecB	315	34,868		syn:slr1319;
P73268	hypB	hypB	Hydrogenase expression/formation protein HypB	229	25,079		syn:sll1079;
P74639	ssr1256		Ssr1256 protein	85	10,046		syn:ssr1256;
P74400	sll0267		Sll0267 protein	1578	178,548		syn:sll0267;
P73386	sll1738		Sll1738 protein	231	25,634		syn:sll1738;
P74713	slr1184		Slr1184 protein	164	17,903		syn:slr1184;
P74609	slr1576		Slr1576 protein	106	11,331		syn:slr1576;
P72594	iutA	iutA	Ferric aerobactin receptor	851	91,657		syn:sll1206;
Q55867	slr0624		Slr0624 protein	371	40,644		syn:slr0624;
P72626	slr1113		ABC transporter	332	37,070		syn:slr1113;
P74340	bgl	bgl	Beta-glucosidase	538	58,238		syn:sll1538;
Q55584	slr0369		Cation or drug efflux system protein	1083	117,562		syn:slr0369;
P73146	slr1035		Slr1035 protein	175	19,904		syn:slr1035;
P74353	slr1636		Slr1636 protein	206	23,527		syn:slr1636;
Q6ZEE1	slr7057		HNHc domain-containing protein	237	27,741		syn:slr7057;
P73907	ctaD	ctaD	Cytochrome c oxidase subunit I	544	60,767		syn:slr2082;
P73120	sll1830		Sll1830 protein	358	39,649		syn:sll1830;
Q6ZEM0	slr5110		Uncharacterized protein	136	15,312		syn:slr5110;
